Date,high,low,open,price,volume,adj close,sma10,ema20,ema30,rsi,macd,lag1,lag5,lag10,signal,positions
2016-08-05,218150,215800,215970,218010,600,218010,216036.5,216182.1455917772,215879.11484568892,56.66703765583122,-145.6455917771964,3180.0,2010.0,1205.0,0,0.0
2016-08-08,218500,216460,218000,218300,400,218300,216266.0,216383.84601160794,216035.30098467675,57.47501016997725,-117.84601160793682,290.0,2340.0,2295.0,0,0.0
2016-08-09,221140,218310,218500,220605,800,220605,216686.5,216785.86067716908,216330.12027598795,63.32791456969866,-99.36067716908292,2305.0,5705.0,4205.0,0,0.0
2016-08-10,221040,219260,220740,220000,400,220000,217056.5,217091.96918410534,216566.88670979522,60.95645333076792,-35.46918410534272,-605.0,4700.0,3700.0,0,0.0
2016-08-11,222030,220000,220495,221890,600,221890,217579.5,217548.92449990482,216910.3133736794,65.32492359198073,30.575500095175812,1890.0,7060.0,5230.0,1,1.0
2016-08-12,221750,220630,220630,221750,300,221750,218154.5,217949.0269284853,217222.5512205388,64.74702603038831,205.47307151468704,-140.0,3740.0,5750.0,1,0.0
2016-08-15,221995,220750,221523,221995,300,221995,218758.0,218334.357697201,217530.45114179436,65.32513467900063,423.6423027990095,245.0,3695.0,6035.0,1,0.0
2016-08-16,221995,220805,221605,220805,500,220805,219348.5,218569.65696413425,217741.7123584528,60.16431983601022,778.8430358657497,-1190.0,200.0,5905.0,1,0.0
2016-08-17,223960,220920,220920,223890,400,223890,220207.5,219076.35630088334,218138.37607726228,67.3628398586294,1131.1436991166556,3085.0,3890.0,8590.0,1,0.0
2016-08-18,224000,222855,223850,223200,300,223200,221044.5,219469.08427222777,218464.9324593744,64.55309642555784,1575.415727772226,-690.0,1310.0,8370.0,1,0.0
2016-08-19,223220,221900,223000,223040,300,223040,221547.5,219809.17148439656,218760.09810715672,63.88764140245925,1738.3285156034399,-160.0,1290.0,5030.0,1,0.0
2016-08-22,223050,221970,222750,222446,100,222446,221962.1,220060.29800969214,218997.89822927566,61.35875504438686,1901.8019903078675,-594.0,451.0,4146.0,1,0.0
2016-08-23,223870,222851,223020,223500,200,223500,222251.6,220387.88867543574,219288.35640803206,64.07604190548776,1863.7113245642686,1054.0,2695.0,2895.0,1,0.0
2016-08-24,223201,222270,223000,222824,100,222824,222534.0,220619.8992777752,219516.46244622357,61.107979217730154,1914.1007222248008,-676.0,-1066.0,2824.0,1,0.0
2016-08-25,223060,222250,222700,222999,400,222999,222644.9,220846.48029893948,219741.1422884027,61.60381910234469,1798.419701060513,175.0,-201.0,1109.0,1,0.0
2016-08-26,223630,220890,222930,222040,500,222040,222673.9,220960.1488418976,219889.45568915093,57.29311118735794,1713.7511581023864,-959.0,-1000.0,290.0,1,0.0
2016-08-29,224450,222800,222800,223400,400,223400,222814.4,221192.51561885973,220115.94241888315,61.416442334436354,1621.8843811402621,1360.0,954.0,1405.0,1,0.0
2016-08-30,225330,224040,224040,224850,200,224850,223218.9,221540.84746468262,220421.3654886326,65.26686210073794,1678.0525353173725,1450.0,1350.0,4045.0,1,0.0
2016-08-31,226145,223040,225280,225760,200,225760,223405.9,221942.67151566522,220765.79352162406,67.46149306558527,1463.2284843347734,910.0,2936.0,1870.0,1,0.0
2016-09-01,226440,223240,225680,225350,200,225350,223620.9,222267.17899036378,221061.5487782935,65.45477677726177,1353.7210096362105,-410.0,2351.0,2150.0,1,0.0
2016-09-02,226490,225040,225970,226050,100,226050,223921.9,222627.44765794819,221383.38434098425,67.24617022459097,1294.452342051809,700.0,4010.0,3010.0,1,0.0
2016-09-06,226340,224000,226340,225849,200,225849,224262.2,222934.26216671502,221671.4885770498,66.1848552255422,1327.9378332849883,-201.0,2449.0,3403.0,1,0.0
2016-09-07,225660,224080,225510,224230,200,224230,224335.2,223057.66576988503,221836.55383014336,58.2150534211671,1277.5342301149794,-1619.0,-620.0,730.0,1,0.0
2016-09-08,225100,224055,224500,224740,300,224740,224526.8,223217.88807751503,222023.87293787603,59.854995174707106,1308.9119224849564,510.0,-1020.0,1916.0,1,0.0
2016-09-09,224211,219870,224100,220110,300,220110,224237.9,222921.8987367993,221900.3972644647,43.256866514094824,1316.0012632006838,-4630.0,-5240.0,-2889.0,1,0.0
2016-09-12,224000,219000,219640,223520,300,223520,224385.9,222978.86076186606,222004.88776353153,53.48719017396378,1407.0392381339334,3410.0,-2530.0,1480.0,1,0.0
2016-09-13,221900,218000,221900,219150,500,219150,223960.9,222614.20735597407,221820.70145620694,42.830134422448054,1346.6926440259267,-4370.0,-6699.0,-4250.0,1,0.0
2016-09-14,220310,218080,219040,218610,300,218610,223336.9,222232.85427445272,221613.55942677424,41.72384494162726,1104.045725547272,-540.0,-5620.0,-6240.0,1,0.0
2016-09-15,220564,218434,218700,220339,200,220339,222794.8,222052.48720069532,221531.32978633718,46.48971831767006,742.3127993046655,1729.0,-4401.0,-5421.0,1,0.0
2016-09-16,218530,216810,218380,218400,700,218400,222099.8,221704.6312768196,221329.3085097993,42.31074340097016,395.1687231803953,-1939.0,-1710.0,-6950.0,1,0.0
2016-09-19,219210,217360,218379,218000,300,218000,221294.8,221351.80925045582,221114.51441239292,41.48233796381592,-57.00925045582699,-400.0,-5520.0,-8050.0,0,-1.0
